model_key,rows,accuracy,macro_f1,fixed_f1,partially_fixed_f1,unresolved_f1,regressed_f1,status
issue_ledger,80,0.5,0.21147798742138363,0.0,0.16666666666666669,0.6792452830188679,0.0,assistant_resolved_candidate_user_review_required
modernbert,80,0.2,0.13714285714285715,0.0,0.2285714285714286,0.32,0.0,assistant_resolved_candidate_user_review_required
mpnet,80,0.55,0.3477822580645161,0.0,0.5161290322580644,0.8750000000000001,0.0,assistant_resolved_candidate_user_review_required
structured,80,0.3625,0.1973392461197339,0.0,0.5454545454545454,0.24390243902439027,0.0,assistant_resolved_candidate_user_review_required
tfidf,80,0.55,0.1774193548387097,0.0,0.7096774193548387,0.0,0.0,assistant_resolved_candidate_user_review_required
