split,rows,seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,unresolved_f1_mean,unresolved_f1_std,fixed_f1_mean,fixed_f1_std,regressed_f1_mean,regressed_f1_std
iclr2023_random80,80,3,0.43333333333333335,0.015590239111558104,0.21121760708555737,0.008250017803558485,0.022222222222222227,0.031426968052735454,0.18812930577636458,0.0628511757466583,0.0,0.0
iclr2024_clean_dev_v7,148,3,0.7387387387387387,0.015925828405102413,0.5313564657321043,0.021027623298478033,0.6706349206349206,0.06453752367972461,0.6624896449531544,0.025635329847641036,0.0,0.0
iclr2025_expanded80,80,3,0.05416666666666667,0.011785113019775794,0.04695312396315585,0.009937209379869439,0.0,0.0,0.07285925122737268,0.015993976304680052,0.0,0.0
neurips2024_limit100,80,3,0.32916666666666666,0.011785113019775804,0.14115960667684804,0.006782526261682699,0.017094017094017092,0.0241745908097965,0.0,0.0,0.0,0.0
